marketplace,customer_id,review_id,product_id,product_title,star_rating,review_date
US,Cust8357,R0,P009,Product P009,1,2023-01-01
US,Cust9736,R1,P025,Product P025,1,2023-01-01
US,Cust4474,R2,P025,Product P025,1,2023-01-01
US,Cust2414,R3,P011,Product P011,1,2023-01-01
US,Cust4202,R4,P011,Product P011,1,2023-01-01
US,Cust7200,R5,P045,Product P045,1,2023-01-01
US,Cust9076,R6,P015,Product P015,1,2023-01-01
US,Cust8040,R7,P038,Product P038,5,2023-01-01
US,Cust8553,R8,P029,Product P029,1,2023-01-01
US,Cust8700,R9,P037,Product P037,5,2023-01-01
US,Cust6880,R10,P048,Product P048,5,2023-01-01
US,Cust5914,R11,P008,Product P008,1,2023-01-01
US,Cust6603,R12,P004,Product P004,2,2023-01-01
US,Cust9760,R13,P032,Product P032,1,2023-01-01
US,Cust6708,R14,P025,Product P025,1,2023-01-01
US,Cust5661,R15,P039,Product P039,1,2023-01-01
US,Cust9842,R16,P003,Product P003,1,2023-01-01
US,Cust6711,R17,P014,Product P014,1,2023-01-01
US,Cust8436,R18,P031,Product P031,1,2023-01-01
US,Cust3168,R19,P041,Product P041,2,2023-01-01
US,Cust3496,R20,P011,Product P011,1,2023-01-01
US,Cust9360,R21,P048,Product P048,1,2023-01-01
US,Cust2228,R22,P035,Product P035,1,2023-01-01
US,Cust3694,R23,P039,Product P039,1,2023-01-01
US,Cust8015,R24,P042,Product P042,1,2023-01-01
US,Cust1234,R25,P013,Product P013,1,2023-01-01
US,Cust1265,R26,P039,Product P039,1,2023-01-01
US,Cust4520,R27,P031,Product P031,1,2023-01-01
US,Cust6887,R28,P015,Product P015,2,2023-01-01
US,Cust5316,R29,P015,Product P015,2,2023-01-01
US,Cust6142,R30,P041,Product P041,1,2023-01-01
US,Cust4027,R31,P009,Product P009,1,2023-01-01
US,Cust6697,R32,P050,Product P050,4,2023-01-01
US,Cust3409,R33,P010,Product P010,1,2023-01-01
US,Cust2175,R34,P001,Product P001,1,2023-01-01
US,Cust4678,R35,P030,Product P030,1,2023-01-01
US,Cust6729,R36,P010,Product P010,1,2023-01-01
US,Cust4078,R37,P031,Product P031,1,2023-01-01
US,Cust9674,R38,P049,Product P049,1,2023-01-01
US,Cust2564,R39,P024,Product P024,3,2023-01-01
US,Cust4324,R40,P028,Product P028,5,2023-01-01
US,Cust4030,R41,P043,Product P043,1,2023-01-01
US,Cust9120,R42,P003,Product P003,1,2023-01-01
US,Cust7466,R43,P030,Product P030,1,2023-01-01
US,Cust7289,R44,P033,Product P033,1,2023-01-01
US,Cust6390,R45,P025,Product P025,1,2023-01-01
US,Cust5608,R46,P049,Product P049,1,2023-01-01
US,Cust6865,R47,P017,Product P017,1,2023-01-01
US,Cust1279,R48,P001,Product P001,1,2023-01-01
US,Cust5033,R49,P039,Product P039,1,2023-01-01
US,Cust3974,R50,P033,Product P033,1,2023-01-01
US,Cust1893,R51,P023,Product P023,1,2023-01-01
US,Cust4208,R52,P021,Product P021,1,2023-01-01
US,Cust8818,R53,P050,Product P050,5,2023-01-01
US,Cust4469,R54,P033,Product P033,1,2023-01-01
US,Cust4522,R55,P021,Product P021,5,2023-01-01
US,Cust4656,R56,P016,Product P016,1,2023-01-01
US,Cust9545,R57,P036,Product P036,1,2023-01-01
US,Cust1189,R58,P018,Product P018,5,2023-01-01
US,Cust7020,R59,P004,Product P004,1,2023-01-01
US,Cust6345,R60,P045,Product P045,1,2023-01-01
US,Cust8370,R61,P036,Product P036,1,2023-01-01
US,Cust8671,R62,P004,Product P004,1,2023-01-01
US,Cust7616,R63,P036,Product P036,5,2023-01-01
US,Cust9024,R64,P016,Product P016,1,2023-01-01
US,Cust9999,R65,P001,Product P001,1,2023-01-01
US,Cust4540,R66,P008,Product P008,1,2023-01-01
US,Cust3857,R67,P017,Product P017,1,2023-01-01
US,Cust7192,R68,P006,Product P006,1,2023-01-01
US,Cust6500,R69,P005,Product P005,1,2023-01-01
US,Cust3198,R70,P014,Product P014,1,2023-01-01
US,Cust5805,R71,P021,Product P021,1,2023-01-01
US,Cust7886,R72,P026,Product P026,1,2023-01-01
US,Cust4271,R73,P022,Product P022,1,2023-01-01
US,Cust9075,R74,P015,Product P015,1,2023-01-01
US,Cust2129,R75,P001,Product P001,4,2023-01-01
US,Cust8948,R76,P030,Product P030,1,2023-01-01
US,Cust4071,R77,P002,Product P002,1,2023-01-01
US,Cust1505,R78,P036,Product P036,1,2023-01-01
US,Cust6652,R79,P038,Product P038,1,2023-01-01
US,Cust5279,R80,P019,Product P019,2,2023-01-01
US,Cust5021,R81,P012,Product P012,2,2023-01-01
US,Cust3405,R82,P010,Product P010,1,2023-01-01
US,Cust7659,R83,P005,Product P005,1,2023-01-01
US,Cust8625,R84,P028,Product P028,1,2023-01-01
US,Cust9235,R85,P006,Product P006,1,2023-01-01
US,Cust4266,R86,P034,Product P034,3,2023-01-01
US,Cust8790,R87,P038,Product P038,1,2023-01-01
US,Cust1520,R88,P046,Product P046,1,2023-01-01
US,Cust2033,R89,P019,Product P019,1,2023-01-01
US,Cust3715,R90,P027,Product P027,5,2023-01-01
US,Cust6293,R91,P023,Product P023,1,2023-01-01
US,Cust5172,R92,P024,Product P024,1,2023-01-01
US,Cust9101,R93,P015,Product P015,1,2023-01-01
US,Cust8066,R94,P011,Product P011,1,2023-01-01
US,Cust2372,R95,P045,Product P045,1,2023-01-01
US,Cust8425,R96,P007,Product P007,1,2023-01-01
US,Cust2500,R97,P044,Product P044,1,2023-01-01
US,Cust1926,R98,P011,Product P011,1,2023-01-01
US,Cust3268,R99,P002,Product P002,1,2023-01-01
US,Cust8373,R100,P022,Product P022,1,2023-01-01
US,Cust3882,R101,P033,Product P033,1,2023-01-01
US,Cust1515,R102,P015,Product P015,1,2023-01-01
US,Cust8880,R103,P034,Product P034,1,2023-01-01
US,Cust8147,R104,P031,Product P031,1,2023-01-01
US,Cust9667,R105,P041,Product P041,1,2023-01-01
US,Cust1760,R106,P031,Product P031,1,2023-01-01
US,Cust9000,R107,P018,Product P018,1,2023-01-01
US,Cust7624,R108,P050,Product P050,1,2023-01-01
US,Cust7103,R109,P040,Product P040,1,2023-01-01
US,Cust9339,R110,P024,Product P024,1,2023-01-01
US,Cust6197,R111,P021,Product P021,1,2023-01-01
US,Cust5130,R112,P050,Product P050,1,2023-01-01
US,Cust3114,R113,P020,Product P020,1,2023-01-01
US,Cust2331,R114,P026,Product P026,1,2023-01-01
US,Cust1972,R115,P019,Product P019,1,2023-01-01
US,Cust3727,R116,P001,Product P001,1,2023-01-01
US,Cust8782,R117,P016,Product P016,1,2023-01-01
US,Cust7303,R118,P001,Product P001,3,2023-01-01
US,Cust1748,R119,P016,Product P016,5,2023-01-01
US,Cust8101,R120,P044,Product P044,1,2023-01-01
US,Cust7617,R121,P018,Product P018,1,2023-01-01
US,Cust4734,R122,P036,Product P036,1,2023-01-01
US,Cust2275,R123,P050,Product P050,1,2023-01-01
US,Cust7325,R124,P009,Product P009,1,2023-01-01
US,Cust1129,R125,P050,Product P050,1,2023-01-01
US,Cust2833,R126,P027,Product P027,1,2023-01-01
US,Cust3672,R127,P031,Product P031,1,2023-01-01
US,Cust7742,R128,P016,Product P016,1,2023-01-01
US,Cust9581,R129,P003,Product P003,3,2023-01-01
US,Cust9455,R130,P009,Product P009,1,2023-01-01
US,Cust9994,R131,P010,Product P010,1,2023-01-01
US,Cust5778,R132,P008,Product P008,4,2023-01-01
US,Cust9591,R133,P005,Product P005,3,2023-01-01
US,Cust9644,R134,P048,Product P048,1,2023-01-01
US,Cust5378,R135,P039,Product P039,1,2023-01-01
US,Cust1680,R136,P028,Product P028,1,2023-01-01
US,Cust2292,R137,P037,Product P037,1,2023-01-01
US,Cust4399,R138,P029,Product P029,1,2023-01-01
US,Cust6965,R139,P016,Product P016,5,2023-01-01
US,Cust4410,R140,P048,Product P048,4,2023-01-01
US,Cust7779,R141,P035,Product P035,5,2023-01-01
US,Cust4475,R142,P008,Product P008,1,2023-01-01
US,Cust8476,R143,P028,Product P028,1,2023-01-01
US,Cust5248,R144,P026,Product P026,5,2023-01-01
US,Cust5595,R145,P023,Product P023,1,2023-01-01
US,Cust5034,R146,P032,Product P032,1,2023-01-01
US,Cust9451,R147,P040,Product P040,4,2023-01-01
US,Cust6743,R148,P047,Product P047,1,2023-01-01
US,Cust1233,R149,P022,Product P022,5,2023-01-01
US,Cust8522,R150,P016,Product P016,1,2023-01-01
US,Cust2409,R151,P025,Product P025,1,2023-01-01
US,Cust8290,R152,P015,Product P015,1,2023-01-01
US,Cust5402,R153,P001,Product P001,1,2023-01-01
US,Cust5160,R154,P007,Product P007,5,2023-01-01
US,Cust8436,R155,P003,Product P003,3,2023-01-01
US,Cust6900,R156,P010,Product P010,1,2023-01-01
US,Cust2663,R157,P029,Product P029,1,2023-01-01
US,Cust1663,R158,P047,Product P047,1,2023-01-01
US,Cust1096,R159,P023,Product P023,1,2023-01-01
US,Cust3433,R160,P005,Product P005,1,2023-01-01
US,Cust3485,R161,P026,Product P026,1,2023-01-01
US,Cust9880,R162,P004,Product P004,1,2023-01-01
US,Cust4231,R163,P045,Product P045,3,2023-01-01
US,Cust9153,R164,P011,Product P011,1,2023-01-01
US,Cust5030,R165,P042,Product P042,1,2023-01-01
US,Cust4705,R166,P033,Product P033,1,2023-01-01
US,Cust7383,R167,P021,Product P021,2,2023-01-01
US,Cust8378,R168,P045,Product P045,1,2023-01-01
